name,description,areas,author,collection,code,rawFileDir,convFileDir
"Ringvorlesung ""Verantwortung"" 3: Verantwortung in smarten Ordnungen",,"Ringvorlesung ""Verantwortung"" 3: Verantwortung in smarten Ordnungen","[{'id': 399, 'firstName': 'Klaus', 'lastName': 'Günther', 'title': '', 'photoAvailable': False}, {'id': 63, 'firstName': 'Gerhard', 'lastName': 'Gamm', 'title': 'Prof.', 'photoAvailable': False}]","[{'id': 413, 'name': 'Ringvorlesung: Verantwortung'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/6a/c1/cc/40/5c/53/11/ed/9a/69/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/6a/c1/cc/40/5c/53/11/ed/9a/69/00/50/56/bd/73/ad
"Ringvorlesung ""Verantwortung"" 4: Levinas' Alteritätsethik. Verantwortung als Struktur des Subjekts",,"Ringvorlesung ""Verantwortung"" 4: Levinas' Alteritätsethik. Verantwortung als Struktur des Subjekts","[{'id': 344, 'firstName': 'Sophie', 'lastName': 'Loidolt', 'title': 'Prof. Dr.', 'photoAvailable': False}]","[{'id': 413, 'name': 'Ringvorlesung: Verantwortung'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/4f/98/0b/d0/63/ad/11/ed/8e/1f/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/4f/98/0b/d0/63/ad/11/ed/8e/1f/00/50/56/bd/73/ae
"Ringvorlesung ""Verantwortung"" 7: Was ist strukturelle Verantwortung?",,"Ringvorlesung ""Verantwortung"" 7: Was ist strukturelle Verantwortung?","[{'id': 403, 'firstName': 'Valentin', 'lastName': 'Beck', 'title': '', 'photoAvailable': False}]","[{'id': 413, 'name': 'Ringvorlesung: Verantwortung'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/a8/e9/f8/b0/72/1c/11/ed/80/39/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/a8/e9/f8/b0/72/1c/11/ed/80/39/00/50/56/bd/73/ad
"Ringvorlesung ""Verantwortung"" 8: Responsibility and Causality",,"Ringvorlesung ""Verantwortung"" 8: Responsibility and Causality","[{'id': 404, 'firstName': 'Sven Ove', 'lastName': 'Hansson', 'title': '', 'photoAvailable': False}]","[{'id': 413, 'name': 'Ringvorlesung: Verantwortung'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/3b/70/79/20/7f/88/11/ed/ae/fe/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/3b/70/79/20/7f/88/11/ed/ae/fe/00/50/56/bd/73/ad
"Ringvorlesung ""Verantwortung"" 9: Versprechen, Bezeugung, Anerkennung: Verantwortung im Denken Paul Ricoeurs",,"Ringvorlesung ""Verantwortung"" 9: Versprechen, Bezeugung, Anerkennung: Verantwortung im Denken Paul Ricoeurs","[{'id': 405, 'firstName': 'Christof', 'lastName': 'Mandry', 'title': '', 'photoAvailable': False}]","[{'id': 413, 'name': 'Ringvorlesung: Verantwortung'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/62/ee/08/00/7f/88/11/ed/9d/db/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/62/ee/08/00/7f/88/11/ed/9d/db/00/50/56/bd/73/ad
"Ringvorlesung ""Verantwortung"" 10: Zukunftsverantwortung und Klimaethik",,"Ringvorlesung ""Verantwortung"" 10: Zukunftsverantwortung und Klimaethik","[{'id': 122, 'firstName': 'Dieter', 'lastName': 'Birnbacher', 'title': '', 'photoAvailable': False}]","[{'id': 413, 'name': 'Ringvorlesung: Verantwortung'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/c5/56/1e/50/86/c8/11/ed/99/24/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/c5/56/1e/50/86/c8/11/ed/99/24/00/50/56/bd/73/ae
"Ringvorlesung ""Verantwortung"" 11: Transparenz, Erklärbarkeit, Interpretierbarkeit, Vertrauen - digitalethische Doppelgänger des Verantwortungsbegriffs?",,"Ringvorlesung ""Verantwortung"" 11: Transparenz, Erklärbarkeit, Interpretierbarkeit, Vertrauen - digitalethische Doppelgänger des Verantwortungsbegriffs?","[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 413, 'name': 'Ringvorlesung: Verantwortung'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/af/3e/77/50/93/40/11/ed/8d/23/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/af/3e/77/50/93/40/11/ed/8d/23/00/50/56/bd/73/ad
"Ringvorlesung ""Verantwortung"" 12: Digitalisierung als Dynamisierung des ""Zustands der Verantwortlichkeit""",,"Ringvorlesung ""Verantwortung"" 12: Digitalisierung als Dynamisierung des ""Zustands der Verantwortlichkeit""","[{'id': 408, 'firstName': 'Steffen', 'lastName': 'Augsberg', 'title': '', 'photoAvailable': False}]","[{'id': 413, 'name': 'Ringvorlesung: Verantwortung'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/0e/b7/87/00/97/ef/11/ed/8b/c1/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/0e/b7/87/00/97/ef/11/ed/8b/c1/00/50/56/bd/73/ad
"Ringvorlesung ""Verantwortung"" 13: Bezeugen und Verantworten",,"Ringvorlesung ""Verantwortung"" 13: Bezeugen und Verantworten","[{'id': 81, 'firstName': 'Andreas', 'lastName': 'Kaminski', 'title': 'Dr.', 'photoAvailable': False}]","[{'id': 413, 'name': 'Ringvorlesung: Verantwortung'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/20/a7/ce/a0/a3/e5/11/ed/92/34/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/20/a7/ce/a0/a3/e5/11/ed/92/34/00/50/56/bd/73/ae
"Ringvorlesung ""Verantwortung"" 14: Verantwortung und Zukunft - Anthropologische Perspektiven",,"Ringvorlesung ""Verantwortung"" 14: Verantwortung und Zukunft - Anthropologische Perspektiven","[{'id': 395, 'firstName': 'Marcus', 'lastName': 'Düwell', 'title': 'Prof. Dr.', 'photoAvailable': False}, {'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 413, 'name': 'Ringvorlesung: Verantwortung'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/a7/21/09/50/a9/63/11/ed/8b/16/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/a7/21/09/50/a9/63/11/ed/8b/16/00/50/56/bd/73/ae
